playerId,displayName,teamAbbreviation,position,rosterSlotId,salary,status,DK_proj,Pts_proj,Reb_proj,Ast_proj,MSE_DK,MSE_Pts,MSE_Reb,MSE_Ast,costPerPoint,pointsRank,salaryRank,eligible
739966,Raul Neto,WAS,PG,464,3100,None,-0.2400000000000002,6.15,0.55,3.12,137.85,46.27,7.64,2.96,-12916.67,755.0,728.5,True
739966,Raul Neto,WAS,PG,458,3100,None,-0.2400000000000002,6.15,0.55,3.12,137.85,46.27,7.64,2.96,-12916.67,755.0,728.5,True
739966,Raul Neto,WAS,PG,465,3100,None,-0.2400000000000002,6.15,0.55,3.12,137.85,46.27,7.64,2.96,-12916.67,755.0,728.5,True
1257422,Deni Avdija,WAS,SF/PF,460,3700,None,-0.75,16.03,-9.33,-5.35,3284.65,175.26,596.6,89.03,-4933.33,760.5,549.0,False
1257422,Deni Avdija,WAS,SF/PF,461,3700,None,-0.75,16.03,-9.33,-5.35,3284.65,175.26,596.6,89.03,-4933.33,760.5,549.0,False
1257422,Deni Avdija,WAS,SF/PF,463,3700,None,-0.75,16.03,-9.33,-5.35,3284.65,175.26,596.6,89.03,-4933.33,760.5,549.0,False
1257422,Deni Avdija,WAS,SF/PF,465,3700,None,-0.75,16.03,-9.33,-5.35,3284.65,175.26,596.6,89.03,-4933.33,760.5,549.0,False
253975,Dwight Howard,LAL,C,465,3100,None,-0.7000000000000002,10.66,-0.43,3.25,355.43,64.03,119.78,8.84,-4428.57,757.5,728.5,True
253975,Dwight Howard,LAL,C,462,3100,None,-0.7000000000000002,10.66,-0.43,3.25,355.43,64.03,119.78,8.84,-4428.57,757.5,728.5,True
1271706,Jalen Green,HOU,PG/SG,459,4500,None,-1.16,-4.56,-4.0,1.59,417.2,301.12,17.55,8.14,-3879.31,768.5,416.0,False
1271706,Jalen Green,HOU,PG/SG,465,4500,None,-1.16,-4.56,-4.0,1.59,417.2,301.12,17.55,8.14,-3879.31,768.5,416.0,False
1271706,Jalen Green,HOU,PG/SG,464,4500,None,-1.16,-4.56,-4.0,1.59,417.2,301.12,17.55,8.14,-3879.31,768.5,416.0,False
1271706,Jalen Green,HOU,PG/SG,458,4500,None,-1.16,-4.56,-4.0,1.59,417.2,301.12,17.55,8.14,-3879.31,768.5,416.0,False
550431,Nemanja Bjelica,GSW,PF/C,462,3500,None,-0.9300000000000002,5.81,6.53,-4.32,509.33,64.3,19.99,13.42,-3763.44,764.5,590.0,False
550431,Nemanja Bjelica,GSW,PF/C,461,3500,None,-0.9300000000000002,5.81,6.53,-4.32,509.33,64.3,19.99,13.42,-3763.44,764.5,590.0,False
550431,Nemanja Bjelica,GSW,PF/C,465,3500,None,-0.9300000000000002,5.81,6.53,-4.32,509.33,64.3,19.99,13.42,-3763.44,764.5,590.0,False
550431,Nemanja Bjelica,GSW,PF/C,463,3500,None,-0.9300000000000002,5.81,6.53,-4.32,509.33,64.3,19.99,13.42,-3763.44,764.5,590.0,False
395388,James Harden,BKN,PG,465,11700,None,-3.6199999999999974,-7.61,6.12,4.66,3493.44,697.48,165.98,168.52,-3232.04,782.0,6.0,False
395388,James Harden,BKN,PG,464,11700,None,-3.6199999999999974,-7.61,6.12,4.66,3493.44,697.48,165.98,168.52,-3232.04,782.0,6.0,False
395388,James Harden,BKN,PG,458,11700,None,-3.6199999999999974,-7.61,6.12,4.66,3493.44,697.48,165.98,168.52,-3232.04,782.0,6.0,False
944164,Josh Jackson,DET,PF,463,3600,None,-1.33,-0.2400000000000002,4.24,2.02,491.07,89.89,23.57,12.5,-2706.77,772.0,565.5,False
944164,Josh Jackson,DET,PF,461,3600,None,-1.33,-0.2400000000000002,4.24,2.02,491.07,89.89,23.57,12.5,-2706.77,772.0,565.5,False
944164,Josh Jackson,DET,PF,465,3600,None,-1.33,-0.2400000000000002,4.24,2.02,491.07,89.89,23.57,12.5,-2706.77,772.0,565.5,False
